time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-19 00:00:00+00:00,1,1,0,0
2022-04-22 00:00:00+00:00,1,1,0,0
2022-04-25 00:00:00+00:00,1,1,0,0
2022-04-28 00:00:00+00:00,1,1,0,0
2022-05-01 00:00:00+00:00,67,18,121,1
2022-05-02 00:00:00+00:00,12,9,8,1
2022-05-03 00:00:00+00:00,0,0,3,1
2022-05-07 00:00:00+00:00,1,1,0,0
2022-05-10 00:00:00+00:00,1,1,0,0
2022-05-11 00:00:00+00:00,1,1,0,0
2022-05-13 00:00:00+00:00,1,1,0,0
2022-05-16 00:00:00+00:00,1,1,0,0
2022-05-20 00:00:00+00:00,2,2,15,1
2022-05-22 00:00:00+00:00,1,1,0,0
2022-05-23 00:00:00+00:00,0,0,4,1
2022-05-24 00:00:00+00:00,1,1,0,0
2022-05-26 00:00:00+00:00,1,1,0,0
2022-05-27 00:00:00+00:00,1,1,0,0
2022-05-31 00:00:00+00:00,1,1,0,0
2022-06-03 00:00:00+00:00,1,1,0,0
2022-06-06 00:00:00+00:00,1,1,0,0
2022-06-08 00:00:00+00:00,0,0,1,1
2022-06-10 00:00:00+00:00,0,0,1,1
