time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-03 00:00:00+00:00,,,41,19
2025-04-04 00:00:00+00:00,4.0,3.0,75,26
2025-04-05 00:00:00+00:00,2.0,2.0,86,36
2025-04-06 00:00:00+00:00,3.0,3.0,59,25
2025-04-07 00:00:00+00:00,2.0,2.0,85,32
2025-04-08 00:00:00+00:00,2.0,2.0,71,29
2025-04-09 00:00:00+00:00,2.0,2.0,55,19
2025-04-10 00:00:00+00:00,,,43,18
2025-04-11 00:00:00+00:00,,,34,17
2025-04-12 00:00:00+00:00,2.0,1.0,71,26
2025-04-13 00:00:00+00:00,2.0,2.0,108,34
2025-04-14 00:00:00+00:00,2.0,1.0,62,26
2025-04-15 00:00:00+00:00,,,57,20
2025-04-16 00:00:00+00:00,,,42,17
