time_iso8601,stars_cumulative
2022-07-01 00:00:00+00:00,1
2022-07-07 00:00:00+00:00,2
2022-07-09 00:00:00+00:00,3
2022-07-13 00:00:00+00:00,4
2022-07-16 00:00:00+00:00,5
2022-07-23 00:00:00+00:00,6
2022-08-04 00:00:00+00:00,7
2022-08-07 00:00:00+00:00,8
2022-09-10 00:00:00+00:00,9
2022-09-30 00:00:00+00:00,10
2022-10-17 00:00:00+00:00,11
2022-11-04 00:00:00+00:00,13
2022-11-07 00:00:00+00:00,14
2022-11-11 00:00:00+00:00,16
2022-11-12 00:00:00+00:00,18
2022-11-13 00:00:00+00:00,20
2022-11-17 00:00:00+00:00,21
2022-11-22 00:00:00+00:00,22
2022-11-23 00:00:00+00:00,23
2022-12-03 00:00:00+00:00,24
2022-12-04 00:00:00+00:00,25
2022-12-18 00:00:00+00:00,26
2022-12-26 00:00:00+00:00,27
2022-12-30 00:00:00+00:00,28
2023-01-01 00:00:00+00:00,29
2023-02-06 00:00:00+00:00,30
2023-02-10 00:00:00+00:00,31
2023-02-13 00:00:00+00:00,32
2023-02-22 00:00:00+00:00,33
2023-03-13 00:00:00+00:00,34
2023-05-17 00:00:00+00:00,35
2023-05-22 00:00:00+00:00,36
2023-05-23 00:00:00+00:00,37
2023-05-29 00:00:00+00:00,38
2023-06-01 00:00:00+00:00,39
2023-06-15 00:00:00+00:00,40
2023-06-17 00:00:00+00:00,41
2023-06-18 00:00:00+00:00,43
2023-06-24 00:00:00+00:00,44
2023-06-28 00:00:00+00:00,46
2023-07-01 00:00:00+00:00,47
2023-07-07 00:00:00+00:00,48
2023-07-08 00:00:00+00:00,49
2023-07-11 00:00:00+00:00,50
2023-07-12 00:00:00+00:00,51
2023-07-15 00:00:00+00:00,52
2023-07-21 00:00:00+00:00,53
2023-08-10 00:00:00+00:00,54
2023-08-11 00:00:00+00:00,55
2023-08-12 00:00:00+00:00,56
2023-08-30 00:00:00+00:00,57
2023-09-12 00:00:00+00:00,58
2023-09-14 00:00:00+00:00,59
2023-09-17 00:00:00+00:00,60
2023-09-23 00:00:00+00:00,61
2023-09-30 00:00:00+00:00,62
2023-10-06 00:00:00+00:00,63
2023-10-07 00:00:00+00:00,64
2023-10-15 00:00:00+00:00,65
2023-11-01 00:00:00+00:00,66
2023-11-04 00:00:00+00:00,67
2023-11-06 00:00:00+00:00,68
2023-11-10 00:00:00+00:00,69
2023-11-18 00:00:00+00:00,70
2023-11-25 00:00:00+00:00,71
2023-11-26 00:00:00+00:00,73
2023-12-05 00:00:00+00:00,74
2023-12-24 00:00:00+00:00,75
2024-01-27 00:00:00+00:00,76
2024-02-03 00:00:00+00:00,77
2024-02-14 00:00:00+00:00,78
2024-02-19 00:00:00+00:00,79
2024-02-29 00:00:00+00:00,80
2024-03-06 00:00:00+00:00,81
2024-03-08 00:00:00+00:00,82
2024-03-20 00:00:00+00:00,83
2024-03-22 00:00:00+00:00,84
2024-03-24 00:00:00+00:00,85
2024-04-24 00:00:00+00:00,86
2024-04-25 00:00:00+00:00,87
2024-05-05 00:00:00+00:00,88
2024-05-10 00:00:00+00:00,89
2024-05-16 00:00:00+00:00,90
2024-06-08 00:00:00+00:00,91
2024-06-17 00:00:00+00:00,93
2024-06-18 00:00:00+00:00,94
2024-06-24 00:00:00+00:00,95
2024-06-25 00:00:00+00:00,96
2024-07-08 00:00:00+00:00,97
2024-07-23 00:00:00+00:00,98
2024-07-24 00:00:00+00:00,99
2024-07-29 00:00:00+00:00,100
2024-08-07 00:00:00+00:00,101
2024-08-11 00:00:00+00:00,102
2024-08-12 00:00:00+00:00,103
2024-08-18 00:00:00+00:00,104
2024-08-19 00:00:00+00:00,105
2024-09-27 00:00:00+00:00,106
