time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-29 00:00:00+00:00,2,2,13,1
2022-06-30 00:00:00+00:00,2,2,2,1
2022-07-01 00:00:00+00:00,4,3,34,5
2022-07-02 00:00:00+00:00,1,1,8,5
2022-07-03 00:00:00+00:00,3,3,28,5
2022-07-04 00:00:00+00:00,5,5,83,8
2022-07-05 00:00:00+00:00,4,3,42,7
2022-07-06 00:00:00+00:00,0,0,57,7
2022-07-07 00:00:00+00:00,0,0,18,6
2022-07-08 00:00:00+00:00,2,2,7,3
2022-07-09 00:00:00+00:00,1,1,22,4
2022-07-10 00:00:00+00:00,2,2,28,3
2022-07-11 00:00:00+00:00,0,0,11,4
2022-07-12 00:00:00+00:00,0,0,2,1
2022-07-13 00:00:00+00:00,2,1,10,1
2022-07-15 00:00:00+00:00,2,2,29,4
2022-07-16 00:00:00+00:00,0,0,24,7
2022-07-17 00:00:00+00:00,2,2,25,6
2022-07-18 00:00:00+00:00,2,1,61,7
2022-07-19 00:00:00+00:00,0,0,27,6
2022-07-20 00:00:00+00:00,0,0,21,4
2022-07-21 00:00:00+00:00,0,0,53,7
2022-07-22 00:00:00+00:00,1,1,3,3
2022-07-23 00:00:00+00:00,2,2,5,3
2022-07-24 00:00:00+00:00,1,1,28,5
2022-07-25 00:00:00+00:00,0,0,11,2
2022-07-26 00:00:00+00:00,0,0,7,4
2022-07-27 00:00:00+00:00,2,2,39,2
2022-07-28 00:00:00+00:00,2,2,12,2
2022-07-29 00:00:00+00:00,1,1,118,5
2022-07-30 00:00:00+00:00,1,1,40,4
2022-07-31 00:00:00+00:00,3,2,42,4
2022-08-01 00:00:00+00:00,2,2,20,4
2022-08-02 00:00:00+00:00,7,4,50,6
2022-08-03 00:00:00+00:00,1,1,25,6
2022-08-04 00:00:00+00:00,3,3,14,3
2022-08-05 00:00:00+00:00,1,1,65,5
2022-08-06 00:00:00+00:00,0,0,11,6
2022-08-07 00:00:00+00:00,2,2,14,4
2022-08-08 00:00:00+00:00,2,2,17,3
2022-08-09 00:00:00+00:00,2,1,7,4
2022-08-10 00:00:00+00:00,0,0,14,3
2022-08-11 00:00:00+00:00,3,2,29,5
2022-08-12 00:00:00+00:00,1,1,18,3
2022-08-13 00:00:00+00:00,1,1,19,4
2022-08-14 00:00:00+00:00,1,1,21,4
2022-08-15 00:00:00+00:00,6,3,9,4
2022-08-16 00:00:00+00:00,1,1,5,3
2022-08-17 00:00:00+00:00,0,0,3,2
2022-08-18 00:00:00+00:00,2,2,19,5
2022-08-19 00:00:00+00:00,1,1,3,2
2022-08-20 00:00:00+00:00,0,0,1,1
2022-08-21 00:00:00+00:00,1,1,1,1
2022-08-22 00:00:00+00:00,2,2,2,2
2022-08-23 00:00:00+00:00,0,0,5,3
2022-08-24 00:00:00+00:00,3,3,39,4
2022-08-26 00:00:00+00:00,2,2,1,1
2022-08-27 00:00:00+00:00,0,0,7,1
2022-08-28 00:00:00+00:00,1,1,16,4
2022-08-29 00:00:00+00:00,0,0,39,6
2022-08-30 00:00:00+00:00,1,1,0,0
2022-08-31 00:00:00+00:00,3,2,8,1
2022-09-01 00:00:00+00:00,0,0,6,2
2022-09-02 00:00:00+00:00,2,2,35,5
2022-09-03 00:00:00+00:00,1,1,14,5
2022-09-04 00:00:00+00:00,1,1,14,4
