time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-18 00:00:00+00:00,0,0,1,1
2022-04-23 00:00:00+00:00,2,1,0,0
2022-04-25 00:00:00+00:00,6,3,9,3
2022-04-26 00:00:00+00:00,0,0,10,1
2022-04-27 00:00:00+00:00,3,2,0,0
2022-05-01 00:00:00+00:00,6,3,55,1
2022-05-02 00:00:00+00:00,0,0,5,2
2022-05-03 00:00:00+00:00,0,0,1,1
2022-05-06 00:00:00+00:00,1,1,0,0
2022-05-07 00:00:00+00:00,0,0,1,1
2022-05-11 00:00:00+00:00,4,3,0,0
2022-05-12 00:00:00+00:00,0,0,2,1
2022-05-13 00:00:00+00:00,4,3,2,1
2022-05-19 00:00:00+00:00,11,4,0,0
2022-05-24 00:00:00+00:00,1,1,0,0
2022-06-07 00:00:00+00:00,0,0,13,1
2022-06-08 00:00:00+00:00,0,0,1,1
2022-06-10 00:00:00+00:00,0,0,9,2
2022-06-17 00:00:00+00:00,0,0,1,1
2022-06-19 00:00:00+00:00,0,0,3,1
2022-06-25 00:00:00+00:00,1,1,0,0
2022-06-26 00:00:00+00:00,0,0,1,1
2022-07-01 00:00:00+00:00,0,0,5,1
2022-07-02 00:00:00+00:00,1,1,0,0
2022-07-03 00:00:00+00:00,0,0,6,1
2022-07-09 00:00:00+00:00,1,1,0,0
2022-07-11 00:00:00+00:00,1,1,0,0
2022-07-12 00:00:00+00:00,0,0,4,1
2022-07-25 00:00:00+00:00,5,3,1,1
2022-07-29 00:00:00+00:00,1,1,0,0
2022-08-03 00:00:00+00:00,1,1,0,0
2022-08-09 00:00:00+00:00,1,1,0,0
2022-08-11 00:00:00+00:00,0,0,5,1
2022-08-14 00:00:00+00:00,1,1,0,0
2022-08-29 00:00:00+00:00,0,0,4,1
2022-08-30 00:00:00+00:00,0,0,1,1
2022-09-03 00:00:00+00:00,0,0,5,1
2022-09-10 00:00:00+00:00,0,0,1,1
2022-09-11 00:00:00+00:00,0,0,6,1
2022-09-18 00:00:00+00:00,1,1,0,0
2022-09-25 00:00:00+00:00,0,0,21,1
2022-09-28 00:00:00+00:00,1,1,0,0
2022-10-10 00:00:00+00:00,0,0,3,1
2022-10-12 00:00:00+00:00,0,0,7,1
2022-10-14 00:00:00+00:00,1,1,1,1
2022-10-17 00:00:00+00:00,0,0,1,1
2022-10-18 00:00:00+00:00,1,1,0,0
2022-10-21 00:00:00+00:00,0,0,1,1
2022-10-22 00:00:00+00:00,2,2,0,0
2022-11-02 00:00:00+00:00,0,0,1,1
2022-11-04 00:00:00+00:00,1,1,1,1
2022-11-05 00:00:00+00:00,1,1,0,0
2022-11-06 00:00:00+00:00,0,0,1,1
2022-11-08 00:00:00+00:00,1,1,0,0
2022-11-12 00:00:00+00:00,0,0,1,1
2022-11-15 00:00:00+00:00,1,1,0,0
2022-11-17 00:00:00+00:00,0,0,1,1
2022-11-18 00:00:00+00:00,0,0,1,1
2022-11-20 00:00:00+00:00,0,0,1,1
2022-12-03 00:00:00+00:00,1,1,0,0
2022-12-05 00:00:00+00:00,1,1,0,0
2022-12-07 00:00:00+00:00,4,2,0,0
2022-12-28 00:00:00+00:00,0,0,5,1
2022-12-29 00:00:00+00:00,0,0,2,1
2023-01-03 00:00:00+00:00,2,1,0,0
2023-01-04 00:00:00+00:00,2,1,0,0
2023-01-17 00:00:00+00:00,0,0,2,1
2023-01-31 00:00:00+00:00,0,0,1,1
2023-02-07 00:00:00+00:00,1,1,0,0
2023-02-14 00:00:00+00:00,1,1,0,0
2023-02-19 00:00:00+00:00,0,0,1,1
2023-03-02 00:00:00+00:00,4,2,5,1
2023-03-03 00:00:00+00:00,1,1,0,0
2023-03-05 00:00:00+00:00,1,1,0,0
2023-03-18 00:00:00+00:00,3,3,0,0
2023-03-29 00:00:00+00:00,1,1,0,0
2023-04-07 00:00:00+00:00,0,0,1,1
2023-04-27 00:00:00+00:00,0,0,1,1
2023-05-02 00:00:00+00:00,1,1,0,0
2023-05-04 00:00:00+00:00,0,0,4,1
2023-05-07 00:00:00+00:00,1,1,0,0
2023-05-16 00:00:00+00:00,1,1,0,0
2023-05-20 00:00:00+00:00,2,1,0,0
2023-05-21 00:00:00+00:00,2,1,0,0
2023-05-24 00:00:00+00:00,2,1,0,0
2023-05-27 00:00:00+00:00,2,2,0,0
2023-05-29 00:00:00+00:00,1,1,0,0
2023-06-06 00:00:00+00:00,0,0,5,2
2023-06-09 00:00:00+00:00,0,0,1,1
2023-06-18 00:00:00+00:00,0,0,4,1
2023-06-20 00:00:00+00:00,0,0,7,1
2023-06-21 00:00:00+00:00,4,2,0,0
2023-06-27 00:00:00+00:00,1,1,1,1
2023-06-30 00:00:00+00:00,1,1,0,0
2023-07-04 00:00:00+00:00,1,1,1,1
2023-07-05 00:00:00+00:00,0,0,5,1
2023-07-07 00:00:00+00:00,0,0,6,2
2023-07-15 00:00:00+00:00,1,1,0,0
2023-07-28 00:00:00+00:00,4,2,0,0
2023-08-02 00:00:00+00:00,0,0,1,1
2023-08-06 00:00:00+00:00,1,1,37,1
2023-08-08 00:00:00+00:00,2,1,0,0
2023-08-09 00:00:00+00:00,3,3,0,0
2023-08-10 00:00:00+00:00,0,0,1,1
2023-08-11 00:00:00+00:00,0,0,6,1
2023-08-14 00:00:00+00:00,0,0,4,2
2023-08-15 00:00:00+00:00,0,0,26,5
2023-08-16 00:00:00+00:00,0,0,2,1
2023-08-21 00:00:00+00:00,0,0,2,2
2023-08-22 00:00:00+00:00,0,0,29,4
2023-08-23 00:00:00+00:00,1,1,1,1
2023-08-29 00:00:00+00:00,3,2,0,0
2023-09-03 00:00:00+00:00,2,1,0,0
2023-09-14 00:00:00+00:00,1,1,0,0
2023-09-23 00:00:00+00:00,1,1,0,0
2023-09-24 00:00:00+00:00,0,0,4,2
2023-09-30 00:00:00+00:00,7,1,0,0
2023-10-04 00:00:00+00:00,0,0,7,1
2023-10-09 00:00:00+00:00,4,2,0,0
2023-10-12 00:00:00+00:00,2,2,0,0
2023-10-23 00:00:00+00:00,0,0,3,1
2023-10-26 00:00:00+00:00,0,0,32,1
