time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-15 00:00:00+00:00,1,1,2,1
2022-05-16 00:00:00+00:00,33,11,25,1
2022-05-17 00:00:00+00:00,8,7,2,1
2022-05-18 00:00:00+00:00,0,0,3,1
2022-05-20 00:00:00+00:00,0,0,1,1
2022-05-21 00:00:00+00:00,5,4,6,1
2022-05-22 00:00:00+00:00,0,0,1,1
2022-05-23 00:00:00+00:00,7,6,68,1
2022-05-24 00:00:00+00:00,1,1,0,0
2022-05-28 00:00:00+00:00,3,2,8,1
2022-05-29 00:00:00+00:00,4,3,3,1
2022-05-30 00:00:00+00:00,4,3,0,0
2022-05-31 00:00:00+00:00,0,0,4,2
2022-06-03 00:00:00+00:00,3,3,5,1
2022-06-08 00:00:00+00:00,0,0,28,1
2022-06-10 00:00:00+00:00,0,0,2,2
2022-07-08 00:00:00+00:00,0,0,8,1
2022-07-30 00:00:00+00:00,0,0,8,1
2022-07-31 00:00:00+00:00,1,1,0,0
2022-08-14 00:00:00+00:00,2,2,36,1
2022-08-15 00:00:00+00:00,1,1,0,0
2022-09-14 00:00:00+00:00,1,1,0,0
2022-10-21 00:00:00+00:00,1,1,0,0
2022-11-08 00:00:00+00:00,0,0,1,1
2022-11-09 00:00:00+00:00,2,2,0,0
2022-11-11 00:00:00+00:00,2,1,0,0
2022-11-20 00:00:00+00:00,0,0,1,1
2022-11-23 00:00:00+00:00,2,1,0,0
2022-12-06 00:00:00+00:00,2,1,15,1
2022-12-07 00:00:00+00:00,2,1,0,0
2023-01-03 00:00:00+00:00,4,2,0,0
2023-02-14 00:00:00+00:00,1,1,0,0
2023-03-04 00:00:00+00:00,1,1,0,0
2023-05-10 00:00:00+00:00,0,0,1,1
2023-05-22 00:00:00+00:00,2,1,0,0
2023-05-23 00:00:00+00:00,1,1,0,0
2023-05-28 00:00:00+00:00,1,1,0,0
2023-06-12 00:00:00+00:00,3,2,0,0
2023-06-17 00:00:00+00:00,0,0,3,1
2023-06-25 00:00:00+00:00,11,4,1,1
2023-06-30 00:00:00+00:00,1,1,0,0
2023-07-02 00:00:00+00:00,1,1,0,0
2023-07-30 00:00:00+00:00,1,1,0,0
