time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-17 00:00:00+00:00,69,13,9,1
2022-05-18 00:00:00+00:00,1,1,5,1
2022-05-19 00:00:00+00:00,5,3,0,0
2022-05-21 00:00:00+00:00,1,1,2,1
2022-05-23 00:00:00+00:00,7,6,5,1
2022-05-24 00:00:00+00:00,5,4,0,0
2022-05-25 00:00:00+00:00,1,1,0,0
2022-05-28 00:00:00+00:00,5,4,23,3
2022-05-29 00:00:00+00:00,0,0,5,1
2022-05-30 00:00:00+00:00,0,0,23,8
2022-05-31 00:00:00+00:00,0,0,6,3
2022-06-08 00:00:00+00:00,0,0,17,1
2022-06-10 00:00:00+00:00,0,0,6,1
2022-07-07 00:00:00+00:00,1,1,0,0
2022-07-24 00:00:00+00:00,1,1,0,0
2022-07-30 00:00:00+00:00,0,0,8,1
2022-08-15 00:00:00+00:00,1,1,3,1
2022-08-19 00:00:00+00:00,1,1,0,0
2022-08-27 00:00:00+00:00,3,2,15,1
2022-08-28 00:00:00+00:00,6,5,16,1
2022-09-02 00:00:00+00:00,1,1,0,0
2022-09-16 00:00:00+00:00,1,1,0,0
2022-09-25 00:00:00+00:00,1,1,0,0
2022-10-19 00:00:00+00:00,1,1,0,0
2022-10-20 00:00:00+00:00,0,0,8,1
2022-10-21 00:00:00+00:00,0,0,1,1
2022-10-22 00:00:00+00:00,0,0,3,1
2022-10-30 00:00:00+00:00,0,0,4,1
2022-11-06 00:00:00+00:00,1,1,0,0
2022-11-08 00:00:00+00:00,0,0,1,1
2022-11-13 00:00:00+00:00,2,1,0,0
2022-11-23 00:00:00+00:00,2,1,0,0
2022-12-01 00:00:00+00:00,1,1,0,0
2022-12-07 00:00:00+00:00,2,1,0,0
2022-12-15 00:00:00+00:00,0,0,1,1
2022-12-21 00:00:00+00:00,0,0,1,1
2022-12-29 00:00:00+00:00,1,1,0,0
2023-01-03 00:00:00+00:00,1,1,0,0
2023-01-04 00:00:00+00:00,2,1,0,0
2023-01-12 00:00:00+00:00,0,0,1,1
2023-02-14 00:00:00+00:00,1,1,0,0
2023-02-22 00:00:00+00:00,1,1,0,0
2023-03-02 00:00:00+00:00,2,1,0,0
2023-03-05 00:00:00+00:00,2,1,0,0
2023-03-06 00:00:00+00:00,1,1,0,0
2023-04-23 00:00:00+00:00,1,1,0,0
2023-05-20 00:00:00+00:00,2,2,0,0
2023-05-23 00:00:00+00:00,2,1,0,0
2023-05-26 00:00:00+00:00,1,1,0,0
2023-05-28 00:00:00+00:00,1,1,0,0
2023-06-02 00:00:00+00:00,1,1,0,0
2023-06-21 00:00:00+00:00,0,0,23,1
2023-06-22 00:00:00+00:00,2,1,0,0
2023-06-30 00:00:00+00:00,1,1,0,0
2023-07-03 00:00:00+00:00,1,1,0,0
2023-07-14 00:00:00+00:00,1,1,0,0
2023-07-28 00:00:00+00:00,2,1,0,0
2023-08-30 00:00:00+00:00,3,3,0,0
2023-09-02 00:00:00+00:00,1,1,0,0
2023-10-08 00:00:00+00:00,1,1,0,0
2023-10-09 00:00:00+00:00,2,1,0,0
2023-11-05 00:00:00+00:00,2,2,0,0
2023-12-08 00:00:00+00:00,1,1,0,0
2023-12-19 00:00:00+00:00,1,1,0,0
2023-12-28 00:00:00+00:00,2,1,0,0
