time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-18 00:00:00+00:00,5,2,9,1
2022-04-22 00:00:00+00:00,9,4,11,1
2022-04-29 00:00:00+00:00,4,1,6,2
2022-04-30 00:00:00+00:00,3,2,0,0
2022-05-01 00:00:00+00:00,10,4,11,1
2022-05-03 00:00:00+00:00,0,0,2,1
2022-05-15 00:00:00+00:00,6,3,2,1
2022-05-19 00:00:00+00:00,6,3,2,1
2022-08-17 00:00:00+00:00,0,0,1,1
2022-08-29 00:00:00+00:00,7,2,7,1
2022-09-09 00:00:00+00:00,8,2,2,1
2022-09-22 00:00:00+00:00,12,1,0,0
2022-10-04 00:00:00+00:00,14,3,0,0
2022-10-05 00:00:00+00:00,11,3,0,0
2022-10-07 00:00:00+00:00,3,1,0,0
2022-10-12 00:00:00+00:00,0,0,3,1
2022-10-21 00:00:00+00:00,1,1,0,0
2022-10-31 00:00:00+00:00,0,0,1,1
2022-11-06 00:00:00+00:00,0,0,1,1
2022-11-08 00:00:00+00:00,0,0,1,1
2022-11-23 00:00:00+00:00,2,1,0,0
2022-12-06 00:00:00+00:00,0,0,2,1
2022-12-29 00:00:00+00:00,2,1,0,0
2023-01-03 00:00:00+00:00,4,2,0,0
2023-01-12 00:00:00+00:00,0,0,1,1
2023-02-14 00:00:00+00:00,1,1,0,0
2023-04-21 00:00:00+00:00,0,0,1,1
2023-05-20 00:00:00+00:00,2,1,0,0
2023-05-21 00:00:00+00:00,2,1,0,0
2023-05-29 00:00:00+00:00,1,1,0,0
2023-06-16 00:00:00+00:00,1,1,0,0
2023-06-30 00:00:00+00:00,1,1,0,0
2023-07-02 00:00:00+00:00,1,1,0,0
2023-07-17 00:00:00+00:00,8,5,0,0
2023-08-02 00:00:00+00:00,0,0,48,2
2023-08-03 00:00:00+00:00,0,0,6,4
2023-08-04 00:00:00+00:00,1,1,0,0
2023-08-06 00:00:00+00:00,1,1,9,2
2023-08-08 00:00:00+00:00,1,1,0,0
2023-08-13 00:00:00+00:00,0,0,1,1
2023-08-19 00:00:00+00:00,1,1,0,0
2023-08-28 00:00:00+00:00,1,1,0,0
2023-08-31 00:00:00+00:00,2,1,0,0
2023-09-03 00:00:00+00:00,1,1,0,0
2023-09-28 00:00:00+00:00,1,1,0,0
2023-10-03 00:00:00+00:00,4,2,0,0
2023-12-09 00:00:00+00:00,1,1,0,0
2023-12-25 00:00:00+00:00,1,1,0,0
