time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-14 00:00:00+00:00,51,5,6,1
2024-06-17 00:00:00+00:00,2,1,0,0
2024-06-18 00:00:00+00:00,3,2,0,0
2024-06-19 00:00:00+00:00,19,4,0,0
2024-06-20 00:00:00+00:00,58,5,0,0
2024-06-21 00:00:00+00:00,419,32,0,0
2024-06-22 00:00:00+00:00,39,4,12,3
2024-06-23 00:00:00+00:00,108,6,1,1
2024-06-24 00:00:00+00:00,101,5,0,0
2024-06-25 00:00:00+00:00,9,2,0,0
2024-06-26 00:00:00+00:00,2,1,1,1
2024-06-27 00:00:00+00:00,111,8,4,1
2024-06-28 00:00:00+00:00,277,15,5,5
2024-06-29 00:00:00+00:00,6,1,0,0
2024-07-01 00:00:00+00:00,5,4,0,0
2024-07-02 00:00:00+00:00,79,5,1,1
2024-07-03 00:00:00+00:00,2,1,0,0
2024-07-04 00:00:00+00:00,4,2,0,0
2024-07-05 00:00:00+00:00,8,2,1,1
2024-07-06 00:00:00+00:00,148,6,0,0
2024-07-07 00:00:00+00:00,1,1,0,0
2024-07-08 00:00:00+00:00,20,2,0,0
2024-07-09 00:00:00+00:00,15,2,0,0
2024-07-10 00:00:00+00:00,13,6,0,0
2024-07-11 00:00:00+00:00,100,9,0,0
2024-07-12 00:00:00+00:00,20,2,1,1
2024-07-15 00:00:00+00:00,14,2,0,0
2024-07-16 00:00:00+00:00,9,2,0,0
2024-07-17 00:00:00+00:00,10,3,1,1
2024-07-18 00:00:00+00:00,2,1,0,0
2024-07-19 00:00:00+00:00,8,2,0,0
2024-07-20 00:00:00+00:00,1,1,1,1
2024-07-21 00:00:00+00:00,0,0,1,1
2024-07-22 00:00:00+00:00,8,2,0,0
2024-07-23 00:00:00+00:00,9,2,0,0
2024-07-24 00:00:00+00:00,3,1,0,0
2024-07-25 00:00:00+00:00,2,1,0,0
2024-07-26 00:00:00+00:00,2,1,2,1
2024-07-29 00:00:00+00:00,15,2,0,0
2024-07-30 00:00:00+00:00,3,2,0,0
2024-07-31 00:00:00+00:00,2,1,0,0
2024-08-01 00:00:00+00:00,2,1,0,0
2024-08-02 00:00:00+00:00,8,2,1,1
2024-08-04 00:00:00+00:00,0,0,1,1
2024-08-05 00:00:00+00:00,3,2,0,0
2024-08-06 00:00:00+00:00,10,3,0,0
2024-08-07 00:00:00+00:00,10,2,0,0
2024-08-08 00:00:00+00:00,2,1,0,0
2024-08-09 00:00:00+00:00,2,1,1,1
2024-08-12 00:00:00+00:00,14,2,0,0
2024-08-13 00:00:00+00:00,6,5,15,1
2024-08-14 00:00:00+00:00,9,3,5,1
2024-08-15 00:00:00+00:00,8,2,0,0
2024-08-16 00:00:00+00:00,8,2,0,0
2024-08-19 00:00:00+00:00,14,2,0,0
2024-08-20 00:00:00+00:00,4,3,0,0
2024-08-21 00:00:00+00:00,2,1,0,0
2024-08-22 00:00:00+00:00,2,1,0,0
2024-08-23 00:00:00+00:00,8,2,0,0
2024-08-26 00:00:00+00:00,14,2,1,1
2024-08-27 00:00:00+00:00,3,2,0,0
2024-08-28 00:00:00+00:00,2,1,0,0
2024-08-29 00:00:00+00:00,4,3,0,0
2024-08-30 00:00:00+00:00,14,2,0,0
2024-08-31 00:00:00+00:00,3,3,0,0
2024-09-02 00:00:00+00:00,8,2,0,0
2024-09-03 00:00:00+00:00,3,2,0,0
2024-09-04 00:00:00+00:00,59,6,0,0
2024-09-05 00:00:00+00:00,60,4,0,0
2024-09-06 00:00:00+00:00,2,1,0,0
2024-09-07 00:00:00+00:00,0,0,1,1
2024-09-09 00:00:00+00:00,2,1,0,0
2024-09-10 00:00:00+00:00,3,2,0,0
2024-09-11 00:00:00+00:00,7,4,0,0
2024-09-12 00:00:00+00:00,2,1,0,0
2024-09-13 00:00:00+00:00,2,1,0,0
2024-09-16 00:00:00+00:00,2,1,0,0
2024-09-17 00:00:00+00:00,3,2,0,0
2024-09-18 00:00:00+00:00,2,1,1,1
2024-09-19 00:00:00+00:00,2,1,0,0
2024-09-20 00:00:00+00:00,4,3,1,1
2024-09-21 00:00:00+00:00,1,1,5,1
2024-09-22 00:00:00+00:00,5,5,0,0
2024-09-23 00:00:00+00:00,2,1,0,0
2024-09-24 00:00:00+00:00,67,4,0,0
2024-09-25 00:00:00+00:00,116,7,0,0
2024-09-26 00:00:00+00:00,55,5,0,0
2024-09-27 00:00:00+00:00,14,2,1,1
2024-09-28 00:00:00+00:00,1,1,5,1
2024-09-30 00:00:00+00:00,26,2,0,0
2024-10-01 00:00:00+00:00,22,2,0,0
2024-10-02 00:00:00+00:00,4,2,0,0
2024-10-03 00:00:00+00:00,2,1,0,0
2024-10-04 00:00:00+00:00,2,1,9,1
2024-10-05 00:00:00+00:00,103,8,0,0
2024-10-06 00:00:00+00:00,78,6,10,2
2024-10-07 00:00:00+00:00,14,2,21,1
2024-10-08 00:00:00+00:00,12,2,0,0
2024-10-09 00:00:00+00:00,9,3,0,0
2024-10-10 00:00:00+00:00,2,1,0,0
2024-10-11 00:00:00+00:00,1030,38,7,5
2024-10-12 00:00:00+00:00,125,8,3,1
2024-10-13 00:00:00+00:00,0,0,1,1
