time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-01 00:00:00+00:00,8,5,0,0
2022-10-02 00:00:00+00:00,5,3,2,2
2022-10-03 00:00:00+00:00,1,1,0,0
2022-10-04 00:00:00+00:00,1,1,0,0
2022-10-05 00:00:00+00:00,5,5,0,0
2022-10-06 00:00:00+00:00,2,2,2,1
2022-10-07 00:00:00+00:00,0,0,1,1
2022-10-08 00:00:00+00:00,1,1,0,0
2022-10-09 00:00:00+00:00,1,1,0,0
2022-10-10 00:00:00+00:00,1,1,0,0
2022-10-11 00:00:00+00:00,1,1,3,1
2022-10-12 00:00:00+00:00,0,0,4,1
2022-10-15 00:00:00+00:00,0,0,2,2
2022-10-16 00:00:00+00:00,4,2,1,1
2022-10-17 00:00:00+00:00,2,2,0,0
2022-10-22 00:00:00+00:00,0,0,7,2
2022-10-24 00:00:00+00:00,1,1,0,0
2022-10-25 00:00:00+00:00,1,1,0,0
2022-11-03 00:00:00+00:00,1,1,5,1
